Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
1,Finance,Male,40,Associate,2015-12-09,0,PhD,3,34140.45,48,20,12,6,0,12,33,0,2.49,False
2,HR,Male,31,Manager,2024-12-30,7,Master,5,47543.1,43,18,19,3,75,10,35,1,3.53,False
3,Sales,Female,26,Lead,2026-03-13,6,PhD,5,51207.18,36,9,19,2,50,5,80,2,4.56,False
4,HR,Female,29,Lead,2022-06-16,0,Bachelor,3,31426.95,41,15,13,5,50,13,46,2,3.09,False
5,Operations,Female,34,Analyst,2021-08-22,9,Master,4,68388.57,57,25,8,2,25,12,28,0,4.94,True
6,Operations,Female,34,Lead,2025-12-11,2,Diploma,4,44995.94,57,25,11,5,50,7,59,3,2.42,False
7,Marketing,Female,34,Analyst,2017-10-22,2,Diploma,3,30257.93,55,25,12,6,75,3,7,1,4.77,False
8,Sales,Female,33,Developer,2019-12-16,2,PhD,3,37003.81,53,23,8,0,75,13,7,2,1.85,False
9,Marketing,Male,36,Analyst,2018-06-03,3,Master,4,39825.35,36,18,8,6,100,3,43,1,1.64,False
10,HR,Female,30,Executive,2025-10-21,1,PhD,4,36761.03,45,24,6,8,75,5,67,0,4.73,False
11,HR,Male,29,Lead,2016-11-19,3,Master,4,40360.52,46,21,19,5,100,8,20,1,3.28,False
12,Legal,Male,30,Manager,2020-11-21,8,PhD,4,54510.23,58,25,14,6,75,14,49,1,1.27,False
13,Operations,Female,38,Lead,2020-01-11,4,Master,3,39899.21,49,25,15,2,0,12,15,2,3.59,False
14,Sales,Female,32,Analyst,2015-12-06,10,Bachelor,4,56114.67,45,25,1,6,75,6,77,0,2.71,False
15,Legal,Female,21,Analyst,2020-12-06,4,Diploma,4,53307.14,40,18,4,2,50,13,50,3,4.97,False
16,IT,Female,24,Analyst,2022-09-03,3,Bachelor,4,34718.0,54,25,10,2,0,4,74,0,1.34,False
17,Marketing,Male,25,Executive,2021-09-21,8,Diploma,3,55397.42,37,20,16,8,100,5,29,0,4.44,False
18,IT,Male,31,Executive,2016-07-30,9,Diploma,4,61439.19,39,19,17,5,0,12,69,3,3.07,False
19,IT,Female,41,Associate,2021-07-12,9,Bachelor,4,59493.57,51,25,2,8,0,12,45,1,3.89,False
20,Marketing,Male,21,Executive,2026-02-10,9,PhD,4,55666.17,46,21,4,4,0,14,21,1,4.77,False
21,Legal,Male,21,Developer,2017-06-10,0,Master,3,32770.52,60,25,15,10,100,14,29,3,4.32,False
22,Finance,Male,21,Lead,2022-03-10,5,PhD,3,42950.68,46,24,7,1,50,5,11,0,2.22,True
23,IT,Female,30,Associate,2021-12-04,2,Master,4,39013.91,37,16,8,4,0,14,62,0,4.48,False
24,Sales,Male,27,Developer,2019-09-16,2,PhD,4,38554.75,51,25,3,0,50,11,38,0,1.34,False
25,Finance,Female,36,Developer,2016-07-26,2,Bachelor,3,33330.92,55,25,7,10,100,8,32,1,3.7,False
26,Finance,Female,21,Developer,2023-08-09,9,PhD,4,54607.77,60,25,19,1,50,5,60,0,1.86,False
27,IT,Female,33,Manager,2016-07-03,8,PhD,4,60089.42,37,14,19,9,100,4,70,1,4.59,False
28,Sales,Female,27,Analyst,2025-03-19,2,Master,4,39824.19,51,25,13,0,0,13,43,1,3.95,False
29,HR,Female,37,Lead,2015-08-27,4,Diploma,3,44214.27,35,19,16,5,25,7,52,1,4.07,False
30,Legal,Male,31,Developer,2025-08-25,8,Bachelor,4,63069.42,45,21,14,5,100,10,55,3,3.03,False
31,IT,Female,27,Developer,2018-01-19,1,Diploma,4,31471.36,56,25,0,2,0,4,80,0,2.54,False
32,Legal,Female,23,Developer,2019-05-14,6,Diploma,4,50962.94,35,19,1,0,100,8,19,3,1.73,False
33,Finance,Female,38,Executive,2018-09-29,4,PhD,4,38973.95,60,25,15,2,25,6,69,0,2.34,False
34,Sales,Female,28,Developer,2025-02-21,10,MBA,5,65950.37,47,21,18,1,100,6,62,1,2.51,False
35,HR,Female,23,Developer,2017-08-26,8,MBA,3,60015.06,52,25,1,0,100,10,8,3,3.61,False
36,IT,Male,25,Analyst,2017-04-01,2,Master,3,38452.7,46,23,9,8,25,5,49,2,3.1,False
37,Legal,Male,31,Analyst,2024-08-20,9,Bachelor,5,59224.09,38,15,9,1,0,5,76,1,1.7,False
38,Operations,Female,32,Developer,2019-06-14,8,Bachelor,3,58623.46,59,25,14,1,0,10,32,2,1.33,False
39,Finance,Female,27,Developer,2024-01-01,2,MBA,3,40254.91,47,25,2,3,75,11,23,3,1.35,False
40,HR,Male,30,Executive,2022-12-05,5,Diploma,3,43939.53,45,22,7,1,25,9,39,2,3.93,False
41,Sales,Female,28,Developer,2019-05-02,8,Diploma,4,60747.35,48,22,16,8,100,13,53,2,2.67,False
42,IT,Male,38,Executive,2019-03-07,2,MBA,2,35981.62,45,25,18,3,100,5,37,2,4.16,False
43,IT,Female,27,Manager,2021-09-07,2,PhD,3,40147.23,54,20,6,10,25,14,41,1,4.01,False
44,Finance,Female,26,Manager,2015-05-30,1,Bachelor,3,27214.78,51,22,5,1,0,10,12,1,1.63,False
45,Finance,Male,24,Analyst,2023-08-08,0,Master,2,21254.01,51,25,3,9,100,12,19,0,1.07,False
46,Operations,Male,29,Associate,2019-07-28,5,Bachelor,3,40032.69,58,25,3,6,25,13,21,0,4.54,False
47,Operations,Male,36,Manager,2021-01-19,0,Diploma,3,34974.2,35,14,14,7,100,4,6,2,1.96,False
48,Sales,Female,31,Manager,2021-04-06,6,MBA,4,50645.23,38,13,1,7,0,10,71,1,3.11,False
49,HR,Female,30,Analyst,2025-12-29,4,Diploma,3,39895.89,42,25,16,8,0,4,12,2,3.05,False
50,Marketing,Male,37,Associate,2023-10-20,2,MBA,4,41542.24,35,12,2,5,75,6,75,2,3.62,False
51,HR,Female,35,Lead,2017-07-13,3,MBA,3,38476.36,56,25,8,2,75,10,24,2,3.78,False
52,Sales,Male,32,Manager,2024-05-18,0,PhD,4,39523.32,53,25,9,5,100,11,79,3,4.25,False
53,Finance,Male,42,Developer,2022-04-02,1,MBA,3,36466.94,54,21,15,7,100,3,68,2,2.76,True
54,Finance,Female,22,Developer,2025-06-09,5,MBA,4,42005.95,49,25,17,8,25,6,58,2,4.2,False
55,Marketing,Female,38,Manager,2026-02-27,0,Bachelor,4,27986.56,42,19,11,4,0,6,45,2,4.47,False
56,HR,Female,35,Executive,2019-03-15,8,PhD,4,56238.63,50,22,16,4,50,14,74,0,4.36,False
57,Sales,Female,23,Associate,2018-03-22,2,Master,3,38338.09,45,22,4,10,75,11,28,1,4.46,False
58,IT,Male,38,Manager,2017-07-20,10,Master,3,63002.24,52,21,6,6,100,11,25,2,2.13,False
59,Operations,Female,38,Executive,2021-10-18,1,MBA,3,34687.41,38,21,15,10,75,14,43,0,3.57,False
60,Sales,Male,30,Associate,2019-10-04,6,Bachelor,4,50809.5,57,25,6,5,0,10,22,2,1.37,False
61,HR,Male,26,Associate,2021-09-21,5,Diploma,4,53639.34,38,21,9,2,75,11,76,3,2.86,False
62,IT,Male,28,Developer,2023-07-17,10,Bachelor,3,63279.59,38,23,6,5,25,13,42,3,4.14,False
63,Marketing,Male,39,Lead,2022-02-22,6,Diploma,4,55654.51,56,25,20,5,75,6,26,3,3.56,False
64,Sales,Male,34,Analyst,2020-02-03,9,MBA,4,57058.34,51,25,15,7,25,9,76,2,2.71,False
65,IT,Male,25,Developer,2024-06-06,5,MBA,3,45085.98,56,24,10,0,100,7,22,0,3.67,False
66,Operations,Female,40,Manager,2021-08-23,2,MBA,4,38941.39,54,25,8,1,100,8,69,2,2.35,True
67,IT,Female,37,Analyst,2017-11-22,2,MBA,4,41783.12,40,18,11,8,0,7,29,3,3.59,False
68,Sales,Male,24,Associate,2023-07-14,9,PhD,5,61778.31,55,25,7,8,25,9,76,3,4.7,False
69,Finance,Male,33,Manager,2023-04-21,2,Bachelor,3,31681.15,37,15,8,3,0,12,26,0,3.5,True
70,Finance,Female,31,Associate,2015-12-23,8,Diploma,4,59839.14,39,18,10,6,25,14,78,3,2.81,True
71,Marketing,Male,32,Developer,2024-01-27,5,Bachelor,3,42113.21,58,25,8,9,0,10,36,0,2.06,False
72,IT,Male,35,Lead,2018-01-30,3,MBA,3,43679.96,46,17,17,3,25,11,14,3,3.18,False
73,Legal,Female,34,Associate,2018-01-19,4,Bachelor,3,45755.15,53,20,2,6,100,3,45,3,2.01,True
74,Finance,Female,36,Lead,2015-01-27,8,Diploma,4,57169.5,42,18,0,5,50,14,74,2,4.72,False
75,IT,Female,30,Analyst,2019-08-24,4,Master,4,47229.12,60,25,13,3,100,13,49,3,4.11,True
76,Sales,Male,29,Lead,2021-06-14,9,MBA,3,56530.54,50,25,15,3,50,9,6,2,4.38,True
77,Finance,Female,30,Manager,2024-10-14,10,PhD,3,65437.13,58,24,19,10,25,13,34,3,3.53,False
78,IT,Female,21,Analyst,2022-07-08,3,Master,3,34224.67,53,25,3,8,50,5,35,0,4.76,False
79,Finance,Male,30,Associate,2023-10-14,5,Diploma,4,49569.72,44,21,19,0,25,7,53,3,4.44,False
80,IT,Female,39,Analyst,2024-03-13,5,MBA,2,44912.65,50,25,13,9,100,5,12,2,4.74,True
81,HR,Female,27,Manager,2023-09-29,5,PhD,4,49468.42,44,20,18,1,0,13,65,2,4.34,False
82,IT,Female,23,Associate,2016-04-02,0,PhD,3,35228.11,50,25,10,10,50,11,35,3,1.65,False
83,Legal,Male,34,Lead,2017-04-07,4,PhD,3,44490.04,59,25,14,2,0,11,18,2,4.82,True
84,HR,Male,46,Developer,2024-07-11,6,PhD,3,50844.55,57,25,14,6,100,4,62,2,4.77,False
85,IT,Female,28,Analyst,2020-10-26,10,Diploma,2,56931.82,46,17,20,2,50,3,22,2,2.7,False
86,Legal,Female,34,Lead,2019-09-10,2,Master,4,41045.48,53,25,9,2,0,4,68,3,2.72,False
87,Sales,Female,28,Associate,2015-03-13,7,Diploma,4,51748.04,36,16,16,3,25,9,68,3,3.4,False
88,IT,Female,23,Associate,2024-01-02,8,Diploma,3,53906.42,51,19,15,10,0,11,43,2,3.28,False
89,IT,Female,28,Analyst,2024-11-07,10,Master,4,57257.66,49,25,2,3,50,13,66,0,2.57,False
90,Finance,Female,28,Executive,2024-06-10,1,PhD,3,30594.52,39,20,11,8,0,9,52,3,3.63,False
91,Operations,Male,29,Lead,2016-08-17,7,PhD,3,48647.96,58,25,6,1,50,8,37,1,4.11,True
92,IT,Female,24,Executive,2017-03-21,3,MBA,2,37533.04,37,25,6,10,25,11,18,1,3.44,False
93,Operations,Male,23,Developer,2018-07-23,4,PhD,2,39837.15,59,24,20,5,75,9,15,1,2.91,False
94,Legal,Female,22,Analyst,2024-09-28,0,MBA,2,27880.54,41,25,12,9,100,9,13,2,4.36,False
95,Sales,Female,30,Lead,2019-06-03,7,Diploma,4,53120.39,56,25,10,3,50,4,42,3,4.64,False
96,Marketing,Male,31,Manager,2023-01-19,0,Diploma,3,38844.43,42,10,5,0,50,13,35,3,3.77,False
97,IT,Female,37,Executive,2020-05-15,4,PhD,5,52498.5,40,17,15,0,50,12,72,3,1.74,False
98,HR,Female,36,Analyst,2017-09-24,5,MBA,4,52255.14,45,25,8,6,100,3,62,3,1.27,True
99,Legal,Male,26,Lead,2024-04-04,7,MBA,4,49835.79,56,25,6,10,100,14,71,1,2.71,False
100,Legal,Female,27,Associate,2017-02-09,5,MBA,2,49114.48,46,14,1,6,25,10,18,3,4.09,False
101,Operations,Female,27,Manager,2018-06-02,9,Master,4,65473.12,53,25,14,3,50,11,39,3,3.97,True
102,Operations,Male,23,Manager,2018-02-16,1,MBA,2,33388.37,44,25,8,9,0,14,28,2,1.18,False
103,HR,Female,28,Developer,2025-07-15,2,Master,4,35856.87,48,25,17,2,100,11,46,0,1.66,False
104,IT,Male,22,Executive,2015-04-29,2,PhD,2,31829.52,41,19,8,8,50,3,24,2,4.61,False
105,HR,Female,21,Manager,2025-06-10,4,PhD,2,32378.36,37,25,8,4,75,6,6,1,2.64,True
106,HR,Male,35,Associate,2018-06-29,0,Diploma,2,27817.31,51,25,4,10,50,9,25,1,3.31,False
107,Operations,Male,31,Executive,2022-04-21,4,PhD,3,41898.97,37,15,13,4,75,14,31,0,2.4,True
108,Marketing,Male,26,Executive,2018-04-03,4,Master,3,42227.0,37,21,3,9,25,10,57,1,1.4,False
109,Sales,Male,34,Manager,2025-11-16,6,Bachelor,5,50299.08,35,21,19,3,100,10,80,0,1.42,False
110,IT,Female,34,Developer,2021-01-19,6,PhD,3,52256.9,36,17,13,6,100,12,13,2,4.79,False
111,Operations,Female,39,Lead,2025-03-19,3,Master,4,40621.02,55,25,0,8,75,8,46,0,1.79,False
112,Finance,Female,28,Associate,2020-05-14,4,PhD,3,35090.44,46,25,3,5,0,12,38,0,1.47,False
113,Operations,Female,32,Developer,2023-07-11,5,MBA,3,51529.68,57,25,7,10,50,12,27,3,3.66,False
114,Finance,Female,28,Developer,2021-03-11,9,Bachelor,4,55134.72,43,20,8,10,100,10,38,0,2.57,False
115,Legal,Male,27,Manager,2026-01-29,0,PhD,3,27117.6,58,25,20,0,25,11,20,2,2.65,False
116,HR,Female,37,Lead,2021-04-06,6,Diploma,4,49030.24,52,25,20,3,25,6,60,1,2.28,False
117,Legal,Female,33,Analyst,2015-06-06,0,Diploma,3,39316.53,49,20,17,9,25,13,48,3,1.93,False
118,Operations,Female,25,Lead,2015-11-13,2,Master,2,34709.99,41,23,15,9,50,3,25,2,2.74,False
119,Sales,Female,31,Manager,2021-03-23,4,Diploma,4,42101.16,39,19,11,7,75,13,33,2,3.17,True
120,Marketing,Male,34,Manager,2021-03-20,8,MBA,3,51573.69,56,25,5,6,0,12,57,1,2.75,False
121,Marketing,Male,30,Developer,2016-08-26,3,MBA,4,40889.18,59,25,2,0,75,10,45,2,3.67,False
122,Legal,Male,30,Manager,2022-08-20,5,Diploma,2,45881.44,42,14,5,1,100,6,9,1,2.41,False
123,Legal,Female,44,Executive,2021-09-27,6,Master,3,47946.69,49,24,18,7,75,4,22,3,3.7,False
124,Operations,Female,26,Manager,2018-05-03,8,Master,4,55967.29,50,25,8,4,25,12,67,1,4.36,False
125,Sales,Female,27,Associate,2023-06-26,4,Diploma,4,41853.24,38,16,19,9,100,11,60,0,1.38,False
126,HR,Male,39,Executive,2015-05-17,6,Bachelor,4,55225.27,54,25,20,1,0,6,47,2,3.34,False
127,Operations,Male,32,Developer,2022-08-20,9,PhD,3,64090.43,60,23,3,3,50,11,73,2,1.55,False
128,HR,Female,30,Associate,2021-07-26,4,PhD,3,41880.6,60,25,1,4,25,9,9,2,1.03,False
129,IT,Male,23,Analyst,2025-03-17,10,MBA,4,60232.16,59,25,9,5,75,8,52,1,1.3,True
130,Sales,Male,33,Manager,2016-07-23,4,MBA,3,39892.84,45,25,3,0,25,6,24,1,1.9,False
131,Legal,Male,34,Manager,2022-07-09,4,Master,4,48296.08,41,17,14,5,50,9,38,3,2.0,False
132,HR,Female,38,Executive,2023-09-14,0,Diploma,3,38781.33,45,17,5,10,25,11,37,3,3.76,False
133,Legal,Male,39,Associate,2018-09-17,5,MBA,2,45123.87,50,25,15,7,25,3,14,3,4.72,False
134,IT,Male,33,Lead,2026-02-05,5,Master,3,45099.69,45,24,14,0,0,14,65,0,2.1,False
135,Finance,Female,27,Associate,2024-08-17,4,MBA,3,41000.18,41,20,16,6,50,8,33,2,3.54,False
136,Finance,Female,24,Lead,2021-01-28,6,MBA,3,49431.97,41,20,8,6,100,12,49,0,2.66,False
137,IT,Male,40,Manager,2023-08-30,6,Diploma,3,47610.26,41,16,19,9,0,5,44,1,3.24,False
138,IT,Female,28,Analyst,2018-10-29,10,MBA,4,70452.94,35,11,14,9,25,6,50,3,4.09,False
139,Sales,Female,38,Developer,2016-10-11,4,Bachelor,3,42744.62,47,25,9,6,50,3,26,1,4.41,True
140,IT,Male,35,Associate,2025-02-03,4,Master,3,46372.07,54,25,0,4,25,14,37,2,1.17,False
141,Legal,Male,30,Executive,2019-07-18,8,Diploma,5,59926.34,38,19,4,4,25,7,69,0,4.41,False
142,Operations,Female,39,Executive,2019-03-02,5,Bachelor,4,43898.79,53,21,3,10,100,4,66,0,4.7,False
